EntityName,EntityColumn
8.89835E+11,salsify:data_inheritance_hierarchy_level_id
8.89835E+11,Grid_Value_USA_S 
8.89835E+11,Material_Num_USA_S 
8.89835E+11,UPC_GLO_S 
8.89835E+11,Fiber_Type_GLO_S 
8.89835E+11,Material_Desc_USA_S 
8.89835E+11,NRF_Size_Code_USA_S 
8.89835E+11,Compact_Size_Desc_GLO_S 
8.89835E+11,Size_Code_USA_S 
8.89835E+11,Size_Desc_GLO_S 
8.89835E+11,Case_Qty_USA_S 
8.89835E+11,Country_of_Origin_Code_GLO_S 
8.89835E+11,Country_of_Origin_GLO_S 
8.89835E+11,Tax_Code_USA_S 
8.89835E+11,Magento_SKU_GLO_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,salsify:parent_id
8.89835E+11,salsify:data_inheritance_hierarchy_level_id
8.89835E+11,Grid_Value_USA_S 
8.89835E+11,Material_Num_USA_S 
8.89835E+11,UPC_GLO_S 
8.89835E+11,Fiber_Type_GLO_S 
8.89835E+11,Material_Desc_USA_S 
8.89835E+11,NRF_Size_Code_USA_S 
8.89835E+11,Compact_Size_Desc_GLO_S 
8.89835E+11,Size_Code_USA_S 
8.89835E+11,Size_Desc_GLO_S 
8.89835E+11,Case_Qty_USA_S 
8.89835E+11,Country_of_Origin_Code_GLO_S 
8.89835E+11,Country_of_Origin_GLO_S 
8.89835E+11,Tax_Code_USA_S 
8.89835E+11,Magento_SKU_GLO_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,salsify:parent_id
8.89835E+11,salsify:data_inheritance_hierarchy_level_id
8.89835E+11,Grid_Value_USA_S 
8.89835E+11,Material_Num_USA_S 
8.89835E+11,UPC_GLO_S 
8.89835E+11,Fiber_Type_GLO_S 
8.89835E+11,Material_Desc_USA_S 
8.89835E+11,NRF_Size_Code_USA_S 
8.89835E+11,Compact_Size_Desc_GLO_S 
8.89835E+11,Size_Code_USA_S 
8.89835E+11,Size_Desc_GLO_S 
8.89835E+11,Case_Qty_USA_S 
8.89835E+11,Country_of_Origin_Code_GLO_S 
8.89835E+11,Country_of_Origin_GLO_S 
8.89835E+11,Tax_Code_USA_S 
8.89835E+11,Magento_SKU_GLO_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,salsify:parent_id
8.89835E+11,salsify:data_inheritance_hierarchy_level_id
8.89835E+11,Grid_Value_USA_S 
8.89835E+11,Material_Num_USA_S 
8.89835E+11,UPC_GLO_S 
8.89835E+11,Fiber_Type_GLO_S 
8.89835E+11,Material_Desc_USA_S 
8.89835E+11,NRF_Size_Code_USA_S 
8.89835E+11,Compact_Size_Desc_GLO_S 
8.89835E+11,Size_Code_USA_S 
8.89835E+11,Size_Desc_GLO_S 
8.89835E+11,Case_Qty_USA_S 
8.89835E+11,Country_of_Origin_Code_GLO_S 
8.89835E+11,Country_of_Origin_GLO_S 
8.89835E+11,Tax_Code_USA_S 
8.89835E+11,Magento_SKU_GLO_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Price_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Product_Name_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,Magento_Quantity_USA_A 
8.89835E+11,salsify:parent_id
8.89835E+11,salsify:data_inheritance_hierarchy_level_id
GT78H_Y08160_DEVSTY,Brand_GLO_S 
GT78H_Y08160_DEVSTY,Gender_GLO_S 
GT78H_Y08160_DEVSTY,Product_Region_GLO_S 
GT78H_Y08160_DEVSTY,Source_System_GLO_S 
GT78H_Y08160_DEVSTY,UOM_GLO_S 
GT78H_Y08160_DEVSTY,salsify:data_inheritance_hierarchy_level_id
GT78H_Y08160,Product_Title_GLO_S 
GT78H_Y08160,Style_GLO_S 
GT78H_Y08160,Brand_Group_USA_S 
GT78H_Y08160,Category_USA_S 
GT78H_Y08160,Commission_Group_USA_S 
GT78H_Y08160,Gender_Category_USA_S 
GT78H_Y08160,Product_Group_USA_S 
GT78H_Y08160,Silhouette_USA_S 
GT78H_Y08160,Sub_Brand_USA_S 
GT78H_Y08160,Sub_Category_USA_S 
GT78H_Y08160,Attribute_Code_USA_S 
GT78H_Y08160,Care_Instructions_GLO_M 
GT78H_Y08160,Legal Status
GT78H_Y08160,Optimized_Product_Title_GLO_M 
GT78H_Y08160,Optimized_Product_Desc_GLO_M 
GT78H_Y08160,Optimized_Mkt_Bullet_1_GLO_M 
GT78H_Y08160,Optimized_Mkt_Bullet_2_GLO_M 
GT78H_Y08160,Optimized_Mkt_Bullet_3_GLO_M 
GT78H_Y08160,Optimized_Mkt_Bullet_4_GLO_M 
GT78H_Y08160,Optimized_Mkt_Bullet_5_GLO_M 
GT78H_Y08160,Optimized_Mkt_Bullet_6_GLO_M 
GT78H_Y08160,Optimized_Keywords_GLO_M 
